"Variable","Importance"
"carStationWagon",674.849071547071
"crashFinancialYear",639.745299943231
"region",504.855849062655
"pedestrian",416.335673271368
"motorcycle",384.368211552658
"speedLimit",363.9900373775
"streetLight",279.11163357442
"trafficControl",260.38541202477
"NumberOfLanes",247.631227214368
"light",242.70839609571
"weather",241.416695358038
"urban",206.04472961687
"bicycle",192.077618020379
"vanOrUtility",150.736088944635
"roadLane",142.757055601562
"flatHill",133.034518090048
"holiday",115.885395803569
"fence",115.008926250133
"tree",112.753861837215
"suv",111.7201156064
"advisorySpeed",101.934223025846
"truck",100.144645686932
"postOrPole",98.3431866469291
"parkedVehicle",85.8233640847718
"roadCharacter",68.0440598858575
"cliffBank",65.8229625207783
"guardRail",62.0746848495058
"moped",57.5587974889859
"ditch",54.5994049897778
"trafficSign",54.394434678058
"temporarySpeedLimit",42.1777650888591
"roadSurface",38.511611392807
"overBank",37.9381046692152
"bus",37.8995129565461
"houseOrBuilding",34.3578481227239
"kerb",32.5993773951068
"trafficIsland",30.3329189050734
"vehicle",21.1508563427608
"bridge",19.8833756319894
"taxi",18.7169510505378
"waterRiver",17.5680055968309
"otherVehicleType",15.5549127223848
"strayAnimal",8.21079702011558
"unknownVehicleType",7.3927343983211
"slipOrFlood",6.81178136442387
"roadworks",5.44622995466302
"schoolBus",4.78162753057226
"train",3.59459220280473
