"Feature","Importance"
"carStationWagon",0.0475378058043204
"speedLimit",0.0422592875302139
"pedestrian",0.0250768931862989
"motorcycle",0.0249460300191292
"urban",0.0245983062800713
"vanOrUtility",0.0111878006476857
"bicycle",0.0106302673741699
"fence",0.00865446519614581
"tree",0.00805963722939656
"region",0.0080220183928734
"streetLight",0.00782847914200232
"roadLane",0.00769770805498349
"truck",0.00650511002040294
"suv",0.00641571588224919
"crashFinancialYear",0.00487362670261682
"postOrPole",0.00471905582803596
"NumberOfLanes",0.00418504292729999
"weather",0.00374269465832126
"light",0.00285069649138214
"cliffBank",0.0027968294312184
"trafficControl",0.00228054880486433
"advisorySpeed",0.00198484630951404
"parkedVehicle",0.00188579165310686
"moped",0.00179662726493403
"flatHill",0.00155662691985659
"ditch",0.00132893354944891
"guardRail",0.00100634721885947
"trafficSign",0.000907539329761374
"roadSurface",0.000809055725722745
"bus",0.00062694908953053
"overBank",0.000588936061154389
"roadCharacter",0.000576631774058827
"trafficIsland",0.000572444489892564
"houseOrBuilding",0.000490308080319925
"kerb",0.000418390387775419
"holiday",0.000383707194739651
"strayAnimal",0.000231422530780313
"temporarySpeedLimit",0.000214496719951683
"waterRiver",0.000121595258539196
"bridge",0.000120419593073598
"otherVehicleType",7.67217937400495e-05
"slipOrFlood",2.69990960064588e-05
"train",1.37115574371602e-05
"unknownVehicleType",1.26280246928787e-05
"roadworks",1.12674980720762e-05
"schoolBus",7.64913057374739e-06
"vehicle",-2.85181883285222e-05
"taxi",-0.000101937814120763
