"Feature","Importance","Gain","Cover","Frequency","Combined"
"carStationWagon",0.169470645838345,0.205631007166449,0.071684254245386,0.0656102995791037,0.375101653004794
"speedLimit",0.150652909389495,0.166385947620347,0.0466064440843223,0.0685813320128745,0.317038857009842
"pedestrian",0.0893982633820899,0.113316049885022,0.0576111355051707,0.0292151522654122,0.202714313267112
"motorcycle",0.0889317406833353,0.101891151429218,0.0670338832895782,0.0232730873978708,0.190822892112553
"bicycle",0.0378965382784061,0.0611331400614858,0.0478189773921757,0.0205496410002476,0.0990296783398919
"roadLane",0.0274420649729383,0.0485362020671509,0.0218015401462972,0.0302054964100025,0.0759782670400892
"region",0.0285982201947525,0.0373999008126868,0.0486168098850214,0.0834364941817281,0.0659981210074393
"tree",0.028732330055597,0.0241032303862556,0.0339966056485014,0.0133696459519683,0.0528355604418526
"crashFinancialYear",0.0173743118954054,0.0350307455807125,0.0538039627828293,0.13295370141124,0.0524050574761179
"vanOrUtility",0.0398841252597662,0.00784052395791257,0.0189362458636064,0.0193117108195098,0.0477246492176787
"streetLight",0.0279082594091159,0.017468857480099,0.014732184054872,0.0393661797474622,0.0453771168892149
"fence",0.0308528713381007,0.00974956517450001,0.0175159780382668,0.0155979202772964,0.0406024365126007
"NumberOfLanes",0.0149195343737609,0.019039231325143,0.027344209565899,0.0502599653379549,0.0339587656989039
"postOrPole",0.0168232720335565,0.016736297769896,0.0293452657948603,0.0143599900965586,0.0335595698034525
"weather",0.0133425779795622,0.0189964944374529,0.0262653857268332,0.0435751423619708,0.0323390724170151
"truck",0.0231904939185684,0.00828502858827451,0.0422644711139311,0.0222827432532805,0.0314755225068429
"light",0.0101626351344918,0.0208299836306223,0.0402213666003607,0.0428323842535281,0.0309926187651141
"suv",0.0228718068847276,0.00571793294042729,0.0196276203150723,0.0175786085664769,0.0285897398251549
"moped",0.00640491452576632,0.0163820374412519,0.0360444072784285,0.0121317157712305,0.0227869519670182
"trafficControl",0.00813007820380089,0.00691911525936887,0.0116848663226833,0.0363951473136915,0.0150491934631698
"cliffBank",0.00997060091412964,0.00421656494813453,0.0254580241708311,0.0138648180242634,0.0141871658622642
"advisorySpeed",0.00707590895860469,0.00522224639794758,0.0202461314545619,0.0165882644218866,0.0122981553565523
"parkedVehicle",0.00672278250881187,0.0044674579206515,0.0196203363355685,0.0227779153255756,0.0111902404294634
"flatHill",0.00554932153417723,0.00527956449688464,0.0118789782620574,0.0217875711809854,0.0108288860310619
"guardRail",0.00358759328984926,0.0055817022361859,0.00712315030251784,0.0131220599158207,0.00916929552603516
"ditch",0.00473760248481816,0.00162812067708992,0.0130412590096359,0.00940826937360733,0.00636572316190808
"roadCharacter",0.00205567248019215,0.00379346268885241,0.00489804585638723,0.0133696459519683,0.00584913516904456
"roadSurface",0.00288425588934068,0.00290532464380457,0.00201144895165472,0.0118841297350829,0.00578958053314525
"houseOrBuilding",0.00174793147528962,0.00343626819009377,0.0160124618212621,0.0111413716266403,0.00518419966538338
"trafficSign",0.00323534655704242,0.00170311754380851,0.00133579616096526,0.00643723693983659,0.00493846410085093
"holiday",0.0013679029775379,0.00354046158510542,0.00790591706117452,0.0143599900965586,0.00490836456264332
"bus",0.0022350519825811,0.00157823067835935,0.0167036920355101,0.0076751671205744,0.00381328266094045
"overBank",0.00209953684131241,0.00150939624742591,0.0126214001462925,0.0044565486506561,0.00360893308873832
"trafficIsland",0.00204074495587842,0.00122582795510111,0.010063638425711,0.00618965090368903,0.00326657291097953
"waterRiver",0.000433482922630924,0.00257092353275136,0.0162018641019127,0.00519930675909879,0.00300440645538228
"kerb",0.00149154737012308,0.001459294649889,0.00708340746170141,0.00742758108442684,0.00295084202001208
"strayAnimal",0.000825013378074753,0.00205490493416664,0.0136905781214114,0.00544689279524635,0.00287991831224139
"otherVehicleType",0.000273510561015856,0.00178674085637858,0.016096704195494,0.00569447883139391,0.00206025141739444
"train",4.88812315799801e-05,0.00134733093601066,0.0129726036617121,0.0044565486506561,0.00139621216759064
"temporarySpeedLimit",0.000764673443491469,0.000583935208535408,0.00631174775272082,0.00371379054221342,0.00134860865202688
"bridge",0.000429291715603724,0.000880891276982988,0.0104950809486679,0.00420896261450854,0.00131018299258671
"slipOrFlood",9.62508504515415e-05,0.000539541109350031,0.00468028528446118,0.00222827432532805,0.000635791959801572
"roadworks",4.01682438419049e-05,0.000449430284516395,0.00791653339075059,0.00247586036147561,0.0004895985283583
"vehicle",-0.000101666362433055,0.000350481772153734,0.0013894652423519,0.00222827432532805,0.000248815409720679
"schoolBus",2.72688879198751e-05,7.7264243906821e-05,0.000719258043555157,0.000495172072295123,0.000104533131826696
"taxi",-0.000363404808070146,0.000419071971637926,0.000566578147035072,0.00247586036147561,5.56671635677802e-05
